Species List,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Route Count,14,13,21,20,17,22,22,22,21,21,18,25,22,19,20,15,15,13,13,13,19,19,18,18,33,35,33,35,52,56,53,52,54,60,63,71,74,74,72,71,76,72,76,61,75,83,82,81,75,79,77,82,80
Canada Goose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,3,10,32,27,79,109,69,171,128,227,271,251,331,240,235,307,158,200,118,354,144,496,365,350,211,423,352,289,320,325
Wood Duck,3,0,1,2,5,2,5,16,1,4,2,5,6,1,3,5,2,3,4,1,1,11,5,9,12,20,21,16,28,31,26,32,27,30,14,35,29,25,48,47,20,44,37,19,35,23,33,52,48,57,71,69,79
Mallard,0,0,0,0,0,0,0,0,0,0,1,3,9,4,2,1,0,0,0,0,3,2,4,2,7,7,7,14,5,13,19,11,13,8,9,24,22,20,24,68,45,37,30,32,33,18,19,11,57,44,20,59,35
American Black Duck,0,0,0,0,0,0,1,0,20,2,1,4,6,1,0,0,0,0,0,0,0,4,0,0,0,5,0,1,0,0,0,0,0,0,0,5,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,2,0
Northern Bobwhite,848,717,919,812,693,1028,1024,925,888,811,678,747,638,650,711,537,506,499,389,342,472,443,465,347,756,656,742,620,676,835,624,576,593,619,646,760,738,541,665,648,643,589,463,394,542,519,488,420,322,331,283,310,302
Ruffed Grouse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,2,0,0,1,0,1,2,0,0,0,2,1,0,0
Wild Turkey,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,0,5,9,11,20,10,6,12,24,36,41,23,37,25,41,32,38,53,61,71,78,97,124,108,108,90
Pied-billed Grebe,0,0,0,0,0,0,0,1,4,5,0,1,1,2,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rock Pigeon,12,38,60,111,111,155,129,162,80,108,55,134,133,87,113,76,78,68,52,28,78,99,35,61,213,125,114,136,184,152,207,215,104,182,312,136,195,154,169,172,131,116,123,99,106,132,224,157,90,215,177,227,113
Eurasian Collared-Dove,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,4,5,3,6,17,11,8,17,9,10,17
Common Ground-Dove,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mourning Dove,727,684,846,848,753,812,1025,1116,974,967,930,1156,978,882,971,650,511,741,608,597,1005,916,851,681,1583,1572,1704,1565,1899,2361,2119,2125,1850,2306,2389,2740,2869,2713,2908,2857,3289,3186,2982,2698,3323,3696,3862,3324,3187,3308,2879,3460,3227
Yellow-billed Cuckoo,81,23,44,78,62,109,161,224,111,119,77,118,128,141,149,86,74,123,94,90,115,141,136,86,176,148,233,216,230,237,268,200,162,185,223,319,260,262,414,386,492,289,240,256,365,356,236,310,393,307,376,535,464
Black-billed Cuckoo,0,0,0,0,1,4,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,2,6,2,0,1,0,1,1,2,0,0,1,1,0,0,0,0,2,1,1,0,0,0
unid. Yellow-billed Cuckoo / Black-billed Cuckoo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Common Nighthawk,11,16,5,6,9,5,5,9,5,5,1,5,10,1,10,5,5,2,5,9,16,11,16,3,17,11,31,27,19,28,28,18,23,11,20,14,34,21,27,21,29,22,26,30,26,37,29,12,25,19,35,16,33
Chuck-will's-widow,8,15,11,15,26,15,37,31,34,37,27,37,38,30,47,24,28,40,38,24,25,28,36,25,49,63,71,54,79,81,81,71,60,86,68,65,82,63,78,69,58,61,60,65,67,71,62,61,64,79,49,83,68
Eastern Whip-poor-will,4,7,12,13,9,18,15,25,13,14,15,17,7,9,12,8,16,21,17,6,19,11,19,15,15,23,29,20,22,17,27,18,17,22,29,34,26,23,19,29,17,11,11,16,15,17,17,20,13,29,18,16,18
Chimney Swift,244,277,407,306,260,361,349,360,291,276,388,402,276,310,307,288,239,318,319,284,322,324,322,326,680,604,718,599,812,824,771,844,663,827,784,835,970,788,922,1027,660,797,740,597,729,907,941,707,714,812,738,900,788
Ruby-throated Hummingbird,11,2,8,9,5,7,9,12,9,9,15,14,18,15,23,11,17,15,22,14,24,32,37,30,29,37,41,35,50,60,66,53,56,84,67,63,106,129,121,121,145,101,94,82,72,125,74,82,81,76,109,78,110
Black Rail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Clapper Rail,1,0,4,0,3,1,2,5,3,0,1,0,1,0,2,0,1,3,6,1,2,6,3,4,9,3,23,9,7,7,10,16,9,7,12,12,8,9,9,7,13,9,12,5,10,10,2,5,9,9,2,5,6
King Rail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,3,0,3,2,0,0,0,0,1,0,1,2,1,0,1,1,1,1,0
Virginia Rail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Common Gallinule,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Coot,0,0,0,0,0,0,0,0,0,9,24,5,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Black-necked Stilt,0,0,0,0,0,0,1,0,0,0,0,0,1,2,6,0,1,0,0,0,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Oystercatcher,0,0,1,2,0,0,0,0,3,0,0,3,2,2,0,0,1,0,4,10,7,0,9,4,1,2,3,1,6,0,7,4,6,2,5,6,4,4,5,3,6,3,3,4,3,2,0,3,1,4,0,3,2
Killdeer,1,5,2,7,4,13,19,18,11,11,14,23,5,11,16,6,9,33,24,14,28,37,14,35,59,64,49,67,107,91,104,144,164,179,227,227,269,264,276,295,367,384,354,322,486,408,444,389,350,363,325,384,247
American Woodcock,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Spotted Sandpiper,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Willet,0,0,8,3,7,17,14,22,8,7,13,11,19,18,23,8,19,11,24,14,10,17,23,8,18,19,16,21,33,15,17,14,14,12,20,26,11,8,8,19,11,19,10,19,10,18,22,16,13,9,18,13,4
Laughing Gull,1,0,29,48,42,46,105,116,105,92,521,171,86,94,132,75,223,115,121,136,313,290,300,241,304,425,517,650,1705,701,465,349,532,682,749,2506,553,1174,587,1149,1269,2213,1007,463,2523,1067,771,614,409,589,911,790,1341
Ring-billed Gull,2,0,3,1,0,2,2,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,2,1,17,1,26,0,1,1,2,0,2,1,1,0,0,1,1,2,0,0,1,0
Herring Gull,1,0,0,0,0,0,4,1,10,0,0,1,1,0,0,0,41,0,0,1,0,0,0,1,0,0,11,16,9,30,25,18,2,5,15,8,15,1,14,7,7,1,9,2,3,1,3,4,4,10,0,3,0
Great Black-backed Gull,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,5,4,1,4,5,0,1,5,0,3,0,2,3,0,1,2,0,0,0,0,1,0,0,0,0,0
Least Tern,0,2,1,3,2,14,10,2,10,2,2,6,6,12,15,0,3,4,4,8,7,6,2,0,0,1,3,0,9,3,25,5,0,0,0,2,28,2,9,18,2,8,7,4,2,7,3,4,7,1,34,6,8
Gull-billed Tern,4,2,5,1,2,9,16,4,2,13,0,1,1,0,1,7,3,4,2,0,2,10,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Caspian Tern,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Common Tern,1,0,2,1,6,6,27,11,1,6,1,7,6,2,3,3,2,1,1,0,0,1,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0
Forster's Tern,0,0,0,0,0,1,1,4,0,1,0,3,0,7,1,5,3,8,6,9,18,18,4,4,18,26,14,20,25,9,26,20,4,3,12,8,22,9,12,14,23,12,24,11,11,4,13,28,9,13,5,19,7
Royal Tern,7,18,61,47,15,39,30,65,48,83,12,46,29,2,11,6,7,3,27,11,25,41,1,2,21,6,22,79,40,44,53,114,59,54,66,45,33,44,45,63,38,76,39,28,49,62,31,92,38,27,6,50,14
Sandwich Tern,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
